"Single release, community wide",,,,,,,,,"Single release, household-level",,,,,,,
H,gamma,rho,tau,alpha,release size,release time,job no.,,H,gamma,rho,tau,alpha,release size,release time,job no.
100,0.15,0.15,0.15,0.1,800,150,67113657,,100,0.15,0.15,0.15,0.1,"4 male, 4 fem /hhold",150,67114505
100,0.15,0.15,0.15,0.5,800,150,67113707,,100,0.15,0.15,0.15,0.5,"4 male, 4 fem /hhold",150,67120664
100,0.15,0.15,0.15,0.03,800,150,67120755,,100,0.15,0.15,0.15,0.03,"4 male, 4 fem /hhold",150,67120829
100,0.15,0.15,0.33,0.1,800,150,67113773,,100,0.15,0.15,0.33,0.1,"4 male, 4 fem /hhold",150,67114508
100,0.15,0.15,0.33,0.5,800,150,67113872,,100,0.15,0.15,0.33,0.5,"4 male, 4 fem /hhold",150,67120666
100,0.15,0.15,0.33,0.03,800,150,67120756,,100,0.15,0.15,0.33,0.03,"4 male, 4 fem /hhold",150,67120830
100,0.15,0.15,1,0.1,800,150,67128752,,100,0.15,0.15,1,0.1,"4 male, 4 fem /hhold",150,67128718
100,0.15,0.15,1,0.5,800,150,67128753,,100,0.15,0.15,1,0.5,"4 male, 4 fem /hhold",150,67128720
100,0.15,0.15,1,0.03,800,150,67128754,,100,0.15,0.15,1,0.03,"4 male, 4 fem /hhold",150,67127946
100,0.15,0.33,0.15,0.1,800,150,67113983,,100,0.15,0.33,0.15,0.1,"4 male, 4 fem /hhold",150,67114512
100,0.15,0.33,0.15,0.5,800,150,67114110,,100,0.15,0.33,0.15,0.5,"4 male, 4 fem /hhold",150,67120671
100,0.15,0.33,0.15,0.03,800,150,67120758,,100,0.15,0.33,0.15,0.03,"4 male, 4 fem /hhold",150,67120832
100,0.15,0.33,0.33,0.1,800,150,67114154,,100,0.15,0.33,0.33,0.1,"4 male, 4 fem /hhold",150,67133712
100,0.15,0.33,0.33,0.5,800,150,67114189,,100,0.15,0.33,0.33,0.5,"4 male, 4 fem /hhold",150,67133714
100,0.15,0.33,0.33,0.03,800,150,67120759,,100,0.15,0.33,0.33,0.03,"4 male, 4 fem /hhold",150,67133715
100,0.15,0.33,1,0.1,800,150,67128755,,100,0.15,0.33,1,0.1,"4 male, 4 fem /hhold",150,67128722
100,0.15,0.33,1,0.5,800,150,67128756,,100,0.15,0.33,1,0.5,"4 male, 4 fem /hhold",150,67128723
100,0.15,0.33,1,0.03,800,150,67128757,,100,0.15,0.33,1,0.03,"4 male, 4 fem /hhold",150,67127947
100,0.15,2,0.15,0.1,800,150,67114250,,100,0.15,2,0.15,0.1,"4 male, 4 fem /hhold",150,67114521
100,0.15,2,0.15,0.5,800,150,67114251,,100,0.15,2,0.15,0.5,"4 male, 4 fem /hhold",150,67120678
100,0.15,2,0.15,0.03,800,150,67120761,,100,0.15,2,0.15,0.03,"4 male, 4 fem /hhold",150,67120835
100,0.15,2,0.33,0.1,800,150,67114253,,100,0.15,2,0.33,0.1,"4 male, 4 fem /hhold",150,67114523
100,0.15,2,0.33,0.5,800,150,67114254,,100,0.15,2,0.33,0.5,"4 male, 4 fem /hhold",150,67120680
100,0.15,2,0.33,0.03,800,150,67120793,,100,0.15,2,0.33,0.03,"4 male, 4 fem /hhold",150,67120836
100,0.15,2,1,0.1,800,150,67128758,,100,0.15,2,1,0.1,"4 male, 4 fem /hhold",150,67128725
100,0.15,2,1,0.5,800,150,67128760,,100,0.15,2,1,0.5,"4 male, 4 fem /hhold",150,67127979
100,0.15,2,1,0.03,800,150,67128761,,100,0.15,2,1,0.03,"4 male, 4 fem /hhold",150,67128726
100,0.33,0.15,0.15,0.1,800,150,67114259,,,,,,,,,
100,0.33,0.15,0.15,0.5,800,150,67114260,,,,,,,,,
100,0.33,0.15,0.15,0.03,800,150,67120795,,,,,,,,,
100,0.33,0.15,0.33,0.1,800,150,67114262,,,,,,,,,
100,0.33,0.15,0.33,0.5,800,150,67114263,,,,,,,,,
100,0.33,0.15,0.33,0.03,800,150,67120796,,,,,,,,,
100,0.33,0.15,1,0.1,800,150,67128762,,,,,,,,,
100,0.33,0.15,1,0.5,800,150,67128763,,,,,,,,,
100,0.33,0.15,1,0.03,800,150,67128764,,,,,,,,,
100,0.33,0.33,0.15,0.1,800,150,67114268,,,,,,,,,
100,0.33,0.33,0.15,0.5,800,150,67114269,,,,,,,,,
100,0.33,0.33,0.15,0.03,800,150,67120799,,,,,,,,,
100,0.33,0.33,0.33,0.1,800,150,67114271,,,,,,,,,
100,0.33,0.33,0.33,0.5,800,150,67113333,,,,,,,,,
100,0.33,0.33,0.33,0.03,800,150,67120800,,,,,,,,,
100,0.33,0.33,1,0.1,800,150,67128768,,,,,,,,,
100,0.33,0.33,1,0.5,800,150,67128770,,,,,,,,,
100,0.33,0.33,1,0.03,800,150,67128769,,,,,,,,,
100,0.33,2,0.15,0.1,800,150,67114307,,,,,,,,,
100,0.33,2,0.15,0.5,800,150,67114309,,,,,,,,,
100,0.33,2,0.15,0.03,800,150,67120802,,,,,,,,,
100,0.33,2,0.33,0.1,800,150,67114311,,,,,,,,,
100,0.33,2,0.33,0.5,800,150,67114312,,,,,,,,,
100,0.33,2,0.33,0.03,800,150,67120803,,,,,,,,,
100,0.33,2,1,0.1,800,150,67128771,,,,,,,,,
100,0.33,2,1,0.5,800,150,67128772,,,,,,,,,
100,0.33,2,1,0.03,800,150,67128773,,,,,,,,,
100,2,0.15,0.15,0.1,800,150,67114424,,,,,,,,,
