week,mean_no_count_015,mean_no_count_033,mean_no_count_2,mean_no_count_h
1,0,0,0,0
2,0.01,0.03,0,0.02
3,0.01,0,0.02,0
4,0.03,0.02,0,0
5,0.01,0,0.02,0
6,0,0,0,0
7,0.01,0,0.01,0.04
8,0,0.01,0.01,0.03
9,0,0.02,0.03,0.02
10,0.01,0.01,0,0
11,0,0.01,0,0.01
12,0,0.01,0,0
13,0,0,0.01,0
14,0,0,0.02,0.01
15,0,0,0.01,0
16,0.01,0.01,0,0
17,0,0.01,0.01,0
18,0.01,0.01,0,0.01
19,0,0,0,0.02
20,0,0.01,0.01,0.01
21,0.01,0.01,0.01,0
22,0,0,0.01,0
23,0.01,0.01,0.02,0.02
24,0.03,0.02,0.08,0.09
25,0.08,0.11,0.46,0.77
26,0.24,0.55,1.81,2.53
27,0.61,1.53,4.92,7.26
28,1.17,3.21,12.62,18.11
29,2.61,7.67,26.43,35.86
30,5.32,15.47,45.52,55.5
31,10.38,27.82,64.58,74.22
32,19.19,44.7,80.14,86.57
33,31.01,62.08,89.59,93.74
34,45.65,76.23,95.1,97.14
35,59.65,86.57,97.8,98.73
36,71.25,93.12,99.02,99.44
37,80.69,96.86,99.6,99.71
38,87.23,98.64,99.8,99.89
39,91.8,99.38,99.92,99.95
40,95.31,99.76,99.98,99.97
41,97.34,99.91,99.99,99.99
42,98.69,99.95,100,100
43,99.24,99.96,100,100
44,99.72,99.98,100,100
45,99.88,99.99,100,100
46,99.96,100,100,100
47,99.98,100,100,100
48,99.99,100,100,100
49,100,100,100,100
50,100,100,100,100
51,100,100,100,100
52,100,100,100,100
53,100,100,100,100
54,100,100,100,100
55,100,100,100,100
56,100,100,100,100
57,100,100,100,100
58,100,100,100,100
59,100,100,100,100
60,100,100,100,100
61,100,100,100,100
62,100,100,100,100
63,100,100,100,100
64,100,100,100,100
65,100,100,100,100
66,100,100,100,100
67,100,100,100,100
68,100,100,100,100
69,100,100,100,100
70,100,100,100,100
71,100,100,100,100
72,100,100,100,100
73,100,100,100,100
74,100,100,100,100
75,100,100,100,100
76,100,100,100,100
77,100,100,100,100
78,100,100,100,100
79,100,100,100,100
80,100,100,100,100
81,100,100,100,100
82,100,100,100,100
83,100,100,100,100
84,100,100,100,100
85,100,100,100,100
86,100,100,100,100
87,100,100,100,100
88,100,100,100,100
89,100,100,100,100
90,100,100,100,100
91,100,100,100,100
92,100,100,100,100
93,100,100,100,100
94,100,100,100,100
95,100,100,100,100
96,100,100,100,100
97,100,100,100,100
98,100,100,100,100
99,100,100,100,100
100,100,100,100,100
101,100,100,100,100
102,100,100,100,100
103,100,100,100,100
104,100,100,100,100
105,100,100,100,100
106,100,100,100,100
107,100,100,100,100
108,100,100,100,100
109,100,100,100,100
110,100,100,100,100
111,100,100,100,100
112,100,100,100,100
113,100,100,100,100
114,100,100,100,100
115,100,100,100,100
116,100,100,100,100
117,100,100,100,100
118,100,100,100,100
119,100,100,100,100
120,100,100,100,100
121,100,100,100,100
122,100,100,100,100
123,100,100,100,100
124,100,100,100,100
125,100,100,100,100
126,100,100,100,100
127,100,100,100,100
128,100,100,100,100
129,100,100,100,100
130,100,100,100,100
131,100,100,100,100
132,100,100,100,100
133,100,100,100,100
134,100,100,100,100
135,100,100,100,100
136,100,100,100,100
137,100,100,100,100
138,100,100,100,100
139,100,100,100,100
140,100,100,100,100
141,100,100,100,100
142,100,100,100,100
143,100,100,100,100
