week,mean_array_015,mean_array_033,mean_array_2,mean_array_h
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,2.4009,3.9079,5.7848,6.051
24,3.1659,4.2161,5.4044,5.7902
25,3.2011,4.1235,5.332,5.7863
26,3.255,4.1798,5.4675,5.932
27,3.3249,4.3285,5.8083,6.2592
28,3.4616,4.5754,6.1568,6.6273
29,3.6429,4.8532,6.5915,7.0533
30,3.9374,5.189,6.9249,7.3887
31,4.248,5.5638,7.2874,7.6564
32,4.6299,5.9527,7.5134,7.9062
33,4.9511,6.225,7.7311,8.1209
34,5.2828,6.4132,7.8791,8.2686
35,5.4907,6.6287,8.0768,8.4825
36,5.7041,6.8527,8.2153,8.6879
37,5.9012,7.0656,8.4186,8.8079
38,6.0627,7.2853,8.504,8.9404
39,6.254,7.408,8.6953,9.0507
40,6.4117,7.5604,8.771,9.1794
41,6.5727,7.7099,8.8577,9.2357
42,6.7035,7.8558,8.9329,9.3113
43,6.7537,8.0333,9.0707,9.4126
44,6.8574,8.1428,9.1892,9.4374
45,7.0055,8.3043,9.2413,9.5281
46,7.0607,8.5606,9.3139,9.5376
47,7.151,8.6529,9.3585,9.5689
48,7.2444,8.7806,9.413,9.5975
49,7.3868,8.8813,9.4836,9.6013
50,7.4344,8.9981,9.524,9.6334
51,7.5245,9.0512,9.5391,9.737
52,7.5908,9.072,9.5507,9.6812
53,7.6466,9.078,9.5967,9.6786
54,7.7032,9.0644,9.6489,9.6978
55,7.8313,9.0859,9.6795,9.7948
56,7.8199,9.1503,9.7049,9.8047
57,7.9207,9.145,9.7804,9.8096
58,7.9113,9.1928,9.7969,9.8106
59,8.0625,9.2714,9.7774,9.7742
60,8.1376,9.2547,9.8337,9.806
