no. females,no. males,job no.,,alpha=0.03,alpha=0.01,,,,med,,,,"(2,5)",alpha,job id,prob ext,,,,,half rel,0.1 rel
1,0,1002086,,1000251,1000568,0,0,,67137376,,,,,0.01,1001967,,,,1,0,,
0,1,1002087,,1000252,1000572,0,1,,67137380,,,,,0.005,1001979,,,,0,1,,
1,1,1002088,,1000258,1000574,1,1,,67137381,,,,"(0,0)",0.005,1002022,,,,1,1,,
2,0,1002090,,1000254,1000581,2,0,,67137382,,,,,0.001,1002032,definitely goes extinct!,,,2,0,,1002036
0,2,1002092,,1000255,1000582,0,2,,67137383,,,,,,,,,,0,2,,
2,1,1002093,,1000259,1000583,2,1,,67137386,,,,,,,,,,2,1,,1002037
1,2,1002098,,1000260,1000584,1,2,,67137437,,,,,,,,,,1,2,,
3,0,1002099,,1000261,1000586,3,0,,67137441,,,,,,,,,,3,0,,
0,3,1002101,,1000262,1000587,0,3,,67137442,,,,,,,,,,0,3,,
2,2,1002102,,1000263,1000590,2,2,,67137443,,,,,,,,,,2,2,,1002038
3,1,1001911,,1000264,1000601,3,1,,67137515,,,,,,,,,,3,1,,
1,3,1001928,,1000265,1000602,1,3,,67137516,,,,,,,,,,1,3,,
4,0,1001919,,1000266,1000612,4,0,,67137517,,,,,,,,,,4,0,,
0,4,1002131,,1000267,1000613,0,4,,67137518,,,,,,,,,,0,4,,
1,4,1001929,,1000268,1000616,1,4,,67137519,,,,,,,,,,1,4,,
4,1,1001920,,1000269,1000636,4,1,,67137520,,,,,,,,,,4,1,,
2,3,1001901,,1000270,1000637,2,3,,67137522,,,,,,,,,,2,3,,1002041
3,2,1001912,,1000271,1000641,3,2,,67137523,,,,,,,,,,3,2,,
5,0,1002060,,1000272,1000642,5,0,,67137527,,,,,,,,,,5,0,,1002049
0,5,1002132,,1000273,1000646,0,5,,67137528,,,,,,,,,,0,5,,
1,5,1001930,,1000284,1000647,1,5,,67137530,,,,,,,,,,1,5,,
5,1,1002061,,1000275,1000650,5,1,,67137531,,,,,,,,,,5,1,,1002050
2,4,1001902,,1000276,1000651,2,4,,67137542,,,,,,,,,,2,4,,1002042
4,2,1001921,,1000283,1000652,4,2,,67137543,,,,,,,,,,4,2,,
6,0,1001654,,1000285,1000653,6,0,,67137545,,,,,,,,,,6,0,,
0,6,1002110,,1000286,1000654,0,6,,67137549,,,,,,,,,,0,6,,
1,6,1001931,,1000287,1000655,1,6,,67137550,,,,,,,,,,1,6,,
6,1,1001657,,1000288,1000656,6,1,,67137551,,,,,,,,,,6,1,,
2,5,1001903,,1000290,1000657,2,5,,67137556,,,,,,,,,,2,5,,1002043
5,2,1002062,,1000291,1000660,5,2,,67137557,,,,,,,,,,5,2,,1002051
3,4,1001914,,1000292,1000661,3,4,,67137544,,,,,,,,,,3,4,,
4,3,1001922,,1000293,1000662,4,3,,67137558,,,,,,,,,,4,3,,
7,0,1001676,,1000294,1000663,7,0,,67137559,,,,,,,,,,7,0,,
0,7,1002145,,1000295,1000664,0,7,,67137562,,,,,,,,,,0,7,,
1,7,1001934,,1000296,1000665,1,7,,67140311,,,,,,,,,,1,7,,
7,1,1001679,,1000302,1000667,7,1,,67140312,,,,,,,,,,7,1,,
2,6,1001904,,1000303,1000668,2,6,,67137563,,,,,,,,,,2,6,,1002044
6,2,1001681,,1000299,1000671,6,2,,67137566,,,,,,,,,,6,2,,
3,5,1001915,,1000300,1000674,3,5,,67137567,,,,,,,,,,3,5,,
5,3,1002063,,1000301,1000675,5,3,,67137570,,,,,,,,,,5,3,,1002052
4,4,1001923,,1000304,1000676,4,4,,67137571,,,,,,,,,,4,4,,
8,0,1001687,,1000312,1000677,8,0,,67137572,,,,,,,,,,8,0,,
0,8,1002112,,1000313,1000679,0,8,,67137573,,,,,,,,,,0,8,,
1,8,1001935,,1000354,1000692,1,8,,67137574,,,,,,,,,,1,8,,
8,1,1001690,,1000353,1000698,8,1,,67137575,,,,,,,,,,8,1,,
2,7,1001905,,1000352,1000697,2,7,,67140313,,,,,,,,,,2,7,,1002045
7,2,1001692,,1000410,,3,3,,67140314,,,,,,,,,,7,2,,
3,6,1001916,,1000351,,7,2,,67140315,,,,,,,,,,3,6,,
6,3,1001695,,1000360,,3,6,,67140316,,,,,,,,,,6,3,,
5,4,1002064,,1000356,,6,3,,67137577,,,,,,,,,,5,4,,1002053
4,5,1001924,,1000358,,5,4,,67137576,,,,,,,,,,4,5,,
0,9,1002113,,1000357,,4,5,,,,,,,,,,,,0,9,,
9,0,1001750,,1000362,,0,9,,67140464,,,,,,,,,,9,0,,
1,9,1002059,,1000361,,9,0,,67140319,,,,,,,,,,1,9,,
9,1,1001773,,1000363,,1,9,,67140320,,,,,,,,,,9,1,,
2,8,1001906,,1000364,,9,1,,67140321,,,,,,,,,,2,8,,1002046
8,2,1001775,,1000365,,2,8,,67140322,,,,,,,,,,8,2,,
3,7,1001917,,1000366,,8,2,,67140323,,,,,,,,,,3,7,,
7,3,1001777,,1000367,,3,7,,67140427,,,,,,,,,,7,3,,
4,6,1001926,,1000368,,7,3,,67140428,,,,,,,,,,4,6,,
6,4,1001779,,1000371,,4,6,,67140429,,,,,,,,,,6,4,,
10,0,1001780,,1000383,,6,4,,67140465,,,,,,,,,,10,0,,
0,10,1002114,,1000373,,10,0,,67140551,,,,,,,,,,0,10,,
5,5,1002065,,1000374,,0,10,,67137580,,,,,,,,,,5,5,,1002054
1,10,1001937,,1000375,,5,5,,67137581,,,,,,,,,,1,10,,
10,1,1001784,,1000385,,1,10,,67137582,,,,,,,,,,10,1,,
2,9,1001907,,1000378,,10,1,,67137583,,,,,,,,,,2,9,,
9,2,1001786,,1000379,,2,9,,67140430,,,,,,,,,,9,2,,
3,8,1001918,,1000380,,9,2,,67140431,,,,,,,,,,3,8,,
8,3,1001788,,1000387,,3,8,,67140466,,,,,,,,,,8,3,,
4,7,1001927,,1000388,,8,3,,67140467,,,,,,,,,,4,7,,
7,4,1001790,,1000389,,4,7,,67140468,,,,,,,,,,7,4,,
5,6,1002066,,1000390,,7,4,,67140469,,,,,,,,,,5,6,,1002055
6,5,1001793,,1000394,,5,6,,67140470,,,,,,,,,,6,5,,
10,2,1001795,,1000395,,6,5,,67140472,,,,,,,,,,10,2,,
2,10,1001908,,1000403,,10,2,,67140552,,,,,,,,,,2,10,,
3,3,1001913,,1000402,,2,10,,67140473,,,,,,,,,,3,3,,
9,3,1001798,,1000411,,9,3,,67140474,,,,,,,,,,9,3,,
10,3,1001799,,1000412,,10,3,,67140475,,,,,,,,,,10,3,,
10,10,1001800,,1000413,,10,10,,67137642,,,,,,,,,,10,10,,
7,4,1001804,,1000414,,7,4,,67140476,,,,,,,,,,7,4,,
8,4,1001805,,1000551,,8,4,,67140477,,,,,,,,,,8,4,,
9,4,1001806,,1000557,,9,4,,67140478,,,,,,,,,,9,4,,
10,4,1001807,,1000559,,10,4,,67140479,,,,,,,,,,10,4,,
6,5,1001808,,1000421,,6,5,,67140486,,,,,,,,,,6,5,,
7,5,1001809,,1000422,,7,5,,67140487,,,,,,,,,,7,5,,
8,5,1001827,,1000423,,8,5,,67140488,,,,,,,,,,8,5,,
9,5,1001831,,1000424,,9,5,,67140489,,,,,,,,,,9,5,,
10,5,1001832,,1000436,,10,5,,67140490,,,,,,,,,,10,5,,
6,6,1001833,,1000437,,6,6,,67140522,,,,,,,,,,6,6,,
5,6,1001834,,1000431,,5,6,,67140496,,,,,,,,,,5,6,,
7,6,1001835,,1000432,,7,6,,67140497,,,,,,,,,,7,6,,
8,6,1001836,,1000444,,8,6,,67140498,,,,,,,,,,8,6,,
9,6,1001840,,1000445,,9,6,,67140499,,,,,,,,,,9,6,,
10,6,1001841,,1000446,,10,6,,67140500,,,,,,,,,,10,6,,
4,7,1001842,,1000447,,4,7,,67140505,,,,,,,,,,4,7,,
5,7,1001843,,1000448,,5,7,,67140506,,,,,,,,,,5,7,,1002056
6,7,1001844,,1000449,,6,7,,67140507,,,,,,,,,,6,7,,
7,7,1001847,,1000462,,7,7,,67140508,,,,,,,,,,7,7,,
8,7,1001848,,1000463,,8,7,,67140509,,,,,,,,,,8,7,,
9,7,1001849,,1000466,,9,7,,67140510,,,,,,,,,,9,7,,
10,7,1001850,,1000472,,10,7,,67140511,,,,,,,,,,10,7,,
4,8,1001867,,1000469,,4,8,,67140513,,,,,,,,,,4,8,,
5,8,1001868,,1000470,,5,8,,67140514,,,,,,,,,,5,8,,
6,8,1001869,,1000473,,6,8,,67140515,,,,,,,,,,6,8,,
7,8,1001870,,1000480,,7,8,,67140523,,,,,,,,,,7,8,,
8,8,1001871,,1000475,,8,8,,67140524,,,,,,,,,,8,8,,
9,8,1001872,,1000479,,9,8,,67140525,,,,,,,,,,9,8,,
10,8,1001877,,1000481,,10,8,,67140526,,,,,,,,,,10,8,,
3,9,1001878,,1000486,,3,9,,67140538,,,,,,,,,,3,9,,
4,9,1001879,,1000487,,4,9,,67140539,,,,,,,,,,4,9,,
5,9,1001880,,1000492,,5,9,,67140540,,,,,,,,,,5,9,,
6,9,1001881,,1000493,,6,9,,67140541,,,,,,,,,,6,9,,
7,9,1001882,,1000497,,7,9,,67140542,,,,,,,,,,7,9,,
8,9,1001885,,1000498,,8,9,,67140543,,,,,,,,,,8,9,,
9,9,1001888,,1000499,,9,9,,67140548,,,,,,,,,,9,9,,
10,9,1001889,,1000500,,10,9,,67140549,,,,,,,,,,10,9,,
3,10,1001890,,1000503,,3,10,,67140554,,,,,,,,,,3,10,,
4,10,1001891,,1000504,,4,10,,67140555,,,,,,,,,,4,10,,
5,10,1001892,,1000510,,5,10,,67140556,,,,,,,,,,5,10,,
6,10,1001894,,1000511,,6,10,,67140557,,,,,,,,,,6,10,,
7,10,1001895,,1000518,,7,10,,67140558,,,,,,,,,,7,10,,
8,10,1001896,,1000524,,8,10,,67140560,,,,,,,,,,8,10,,
9,10,1001897,,1000520,,9,10,,67140561,,,,,,,,,,9,10,,
