SexRatio,ReleaseTimeStep,Ratio
"(3, 10)",75,0.01
"(5, 10)",25,0.15
"(10, 1)",10,1.0
"(10, 10)",10,1.0
"(5, 1)",75,0.0
"(3, 3)",50,0.0
"(5, 10)",75,0.0
"(3, 5)",100,0.0
"(10, 3)",100,0.01
"(1, 1)",50,0.0
"(3, 5)",25,0.02
"(5, 3)",50,0.01
"(3, 3)",10,0.48
"(10, 3)",25,0.6
"(3, 1)",50,0.0
"(5, 5)",100,0.0
"(10, 5)",50,0.1
"(3, 10)",50,0.02
"(10, 1)",100,0.01
"(3, 5)",75,0.0
"(1, 1)",10,0.04
"(10, 3)",75,0.04
"(5, 5)",25,0.14
"(10, 10)",100,0.0
"(5, 3)",10,0.85
"(5, 1)",50,0.02
"(3, 1)",10,0.32
"(10, 1)",25,0.59
"(10, 5)",10,1.0
"(5, 10)",50,0.02
"(3, 10)",10,0.56
"(10, 10)",25,0.53
"(5, 5)",75,0.02
"(10, 1)",75,0.02
"(5, 1)",10,0.82
"(3, 3)",100,0.0
"(10, 10)",75,0.01
"(5, 10)",10,0.93
"(3, 3)",25,0.03
"(1, 1)",100,0.0
"(3, 5)",50,0.0
"(5, 3)",100,0.0
"(10, 3)",50,0.13
"(3, 1)",100,0.0
"(10, 5)",100,0.0
"(1, 1)",25,0.0
"(3, 3)",75,0.01
"(3, 10)",100,0.0
"(5, 3)",25,0.15
"(3, 1)",25,0.02
"(5, 5)",50,0.01
"(3, 5)",10,0.55
"(10, 3)",10,1.0
"(10, 5)",25,0.55
"(3, 10)",25,0.03
"(5, 1)",100,0.0
"(10, 1)",50,0.13
"(1, 1)",75,0.0
"(5, 3)",75,0.03
"(5, 10)",100,0.01
"(10, 10)",50,0.1
"(3, 1)",75,0.0
"(10, 5)",75,0.03
"(5, 1)",25,0.08
"(5, 5)",10,0.93
