SexRatio,ReleaseTimeStep,Ratio
"(3, 10)",75,1.0
"(5, 10)",25,1.0
"(10, 1)",10,1.0
"(10, 10)",10,1.0
"(5, 1)",75,1.0
"(3, 3)",50,1.0
"(5, 10)",75,1.0
"(3, 5)",100,1.0
"(10, 3)",100,1.0
"(1, 1)",50,1.0
"(3, 5)",25,1.0
"(5, 3)",50,1.0
"(3, 3)",10,1.0
"(10, 3)",25,1.0
"(3, 1)",50,1.0
"(5, 5)",100,1.0
"(10, 5)",50,1.0
"(3, 10)",50,1.0
"(10, 1)",100,1.0
"(3, 5)",75,1.0
"(1, 1)",10,1.0
"(10, 3)",75,1.0
"(5, 5)",25,1.0
"(10, 10)",100,1.0
"(5, 3)",10,1.0
"(5, 1)",50,1.0
"(3, 1)",10,1.0
"(10, 1)",25,1.0
"(10, 5)",10,1.0
"(5, 10)",50,1.0
"(3, 10)",10,1.0
"(10, 10)",25,1.0
"(5, 5)",75,1.0
"(10, 1)",75,1.0
"(5, 1)",10,1.0
"(3, 3)",100,1.0
"(10, 10)",75,1.0
"(5, 10)",10,1.0
"(3, 3)",25,1.0
"(1, 1)",100,1.0
"(3, 5)",50,1.0
"(5, 3)",100,1.0
"(10, 3)",50,1.0
"(3, 1)",100,1.0
"(10, 5)",100,1.0
"(1, 1)",25,1.0
"(3, 3)",75,1.0
"(3, 10)",100,1.0
"(5, 3)",25,1.0
"(3, 1)",25,1.0
"(5, 5)",50,1.0
"(3, 5)",10,1.0
"(10, 3)",10,1.0
"(10, 5)",25,1.0
"(3, 10)",25,1.0
"(5, 1)",100,1.0
"(10, 1)",50,1.0
"(1, 1)",75,1.0
"(5, 3)",75,1.0
"(5, 10)",100,1.0
"(10, 10)",50,1.0
"(3, 1)",75,1.0
"(10, 5)",75,1.0
"(5, 1)",25,1.0
"(5, 5)",10,1.0
