SexRatio,ReleaseTimeStep,Ratio
"(3, 10)",75,0.09
"(5, 10)",25,0.3
"(10, 1)",10,1.0
"(10, 10)",10,1.0
"(5, 1)",75,0.11
"(3, 3)",50,0.04
"(5, 10)",75,0.11
"(3, 5)",100,0.05
"(10, 3)",100,0.12
"(1, 1)",50,0.1
"(3, 5)",25,0.17
"(5, 3)",50,0.11
"(3, 3)",10,0.64
"(10, 3)",25,0.79
"(3, 1)",50,0.12
"(5, 5)",100,0.08
"(10, 5)",50,0.22
"(3, 10)",50,0.09
"(10, 1)",100,0.12
"(3, 5)",75,0.07
"(1, 1)",10,0.25
"(10, 3)",75,0.13
"(5, 5)",25,0.3
"(10, 10)",100,0.07
"(5, 3)",10,0.94
"(5, 1)",50,0.14
"(3, 1)",10,0.52
"(10, 1)",25,0.78
"(10, 5)",10,1.0
"(5, 10)",50,0.13
"(3, 10)",10,0.76
"(10, 10)",25,0.75
"(5, 5)",75,0.08
"(10, 1)",75,0.1
"(5, 1)",10,0.9
"(3, 3)",100,0.07
"(10, 10)",75,0.14
"(5, 10)",10,0.99
"(3, 3)",25,0.16
"(1, 1)",100,0.03
"(3, 5)",50,0.06
"(5, 3)",100,0.09
"(10, 3)",50,0.27
"(3, 1)",100,0.03
"(10, 5)",100,0.12
"(1, 1)",25,0.07
"(3, 3)",75,0.11
"(3, 10)",100,0.07
"(5, 3)",25,0.25
"(3, 1)",25,0.11
"(5, 5)",50,0.16
"(3, 5)",10,0.72
"(10, 3)",10,1.0
"(10, 5)",25,0.67
"(3, 10)",25,0.19
"(5, 1)",100,0.08
"(10, 1)",50,0.24
"(1, 1)",75,0.07
"(5, 3)",75,0.12
"(5, 10)",100,0.07
"(10, 10)",50,0.28
"(3, 1)",75,0.06
"(10, 5)",75,0.11
"(5, 1)",25,0.25
"(5, 5)",10,0.97
