no. females,no. males,release time step,job no.
1,1,150,67148348
1,1,200,67148349
1,1,250,67148350
1,1,300,67148351
1,1,350,67148352
3,3,150,67148356
3,3,200,67148357
3,3,250,67148358
3,3,300,67148359
3,3,350,67148360
5,5,150,67148340
5,5,200,67148341
5,5,250,67148342
5,5,300,67148343
5,5,350,67148344
10,10,150,67148362
10,10,200,67148363
10,10,250,67148364
10,10,300,67148365
10,10,350,67148366
3,1,150,67148373
3,1,200,67148374
3,1,250,67148375
3,1,300,67148376
3,1,350,67148377
5,1,150,67148386
5,1,200,67148387
5,1,250,67148388
5,1,300,67148389
5,1,350,67148390
10,1,150,67148396
10,1,200,67148397
10,1,250,67148398
10,1,300,67148399
10,1,350,67148400
3,5,150,67148423
3,5,200,67148424
3,5,250,67148425
3,5,300,67148426
3,5,350,67148427
3,10,150,67148451
3,10,200,67148452
3,10,250,67148453
3,10,300,67148454
3,10,350,67148455
5,10,150,67148460
5,10,200,67148461
5,10,250,67148462
5,10,300,67148463
5,10,350,67148464
5,3,150,67148470
5,3,200,67148471
5,3,250,67148472
5,3,300,67148473
5,3,350,67148474
10,3,150,67148694
10,3,200,67148695
10,3,250,67148696
10,3,300,67148697
10,3,350,67148698
10,5,150,67148702
10,5,200,67148703
10,5,250,67148704
10,5,300,67148705
10,5,350,67148706
