no. females,no. males,release time step,job no.
5,5,50,67148203
5,5,100,67148204
5,5,150,67148205
5,5,200,67148206
5,5,250,67148207
5,5,300,67148208
5,5,350,67148209
1,1,150,67148210
1,1,200,67148211
1,1,250,67148212
1,1,300,67148213
1,1,350,67148214
3,3,150,67148216
3,3,200,67148217
3,3,250,67148218
3,3,300,67148219
3,3,350,67148220
10,10,150,67148222
10,10,200,67148223
10,10,250,67148224
10,10,300,67148225
10,10,350,67148226
3,1,150,67148227
3,1,200,67148228
3,1,250,67148229
3,1,300,67148230
3,1,350,67148231
5,1,150,67148233
5,1,200,67148234
5,1,250,67148235
5,1,300,67148236
5,1,350,67148237
10,1,150,67148239
10,1,200,67148240
10,1,250,67148241
10,1,300,67148242
10,1,350,67148243
3,5,150,67148244
3,5,200,67148245
3,5,250,67148246
3,5,300,67148247
3,5,350,67148248
3,10,150,67148249
3,10,200,67148250
3,10,250,67148251
3,10,300,67148252
3,10,350,67148253
5,10,150,67148280
5,10,200,67148281
5,10,250,67148282
5,10,300,67148283
5,10,350,67148284
5,3,150,67148286
5,3,200,67148287
5,3,250,67148288
5,3,300,67148289
5,3,350,67148290
10,3,150,67148294
10,3,200,67148295
10,3,250,67148296
10,3,300,67148297
10,3,350,67148298
10,5,150,67148303
10,5,200,67148304
10,5,250,67148305
10,5,300,67148306
10,5,350,67148307
