no. females,no. males,release time step,job no.
1,1,10,67147943
1,1,25,67147944
1,1,50,67147945
1,1,75,67147946
1,1,100,67147947
3,3,10,67147955
3,3,25,67147956
3,3,50,67147957
3,3,75,67147958
3,3,100,67147959
5,5,10,67147937
5,5,25,67147938
5,5,50,67147939
5,5,75,67147940
5,5,100,67147941
10,10,10,67147961
10,10,25,67147962
10,10,50,67147963
10,10,75,67147964
10,10,100,67147965
3,1,10,67147966
3,1,25,67147967
3,1,50,67147968
3,1,75,67147969
3,1,100,67147970
5,1,10,67147977
5,1,25,67147978
5,1,50,67147979
5,1,75,67147980
5,1,100,67147981
10,1,10,67147983
10,1,25,67147984
10,1,50,67147985
10,1,75,67147986
10,1,100,67147987
3,5,10,67147988
3,5,25,67147989
3,5,50,67147990
3,5,75,67147991
3,5,100,67147992
3,10,10,67147993
3,10,25,67147994
3,10,50,67147995
3,10,75,67147996
3,10,100,67147997
5,10,10,67147998
5,10,25,67147999
5,10,50,67148000
5,10,75,67148001
5,10,100,67148002
5,3,10,67148007
5,3,25,67148008
5,3,50,67148009
5,3,75,67148010
5,3,100,67148011
10,3,10,67148012
10,3,25,67148013
10,3,50,67148014
10,3,75,67148015
10,3,100,67148016
10,5,10,67148018
10,5,25,67148019
10,5,50,67148020
10,5,75,67148021
10,5,100,67148022
