no. females,no. males,release time step,job no.
1,1,10,67148075
1,1,25,67148076
1,1,50,67148077
1,1,75,67148078
1,1,100,67148079
3,3,10,67148082
3,3,25,67148083
3,3,50,67148084
3,3,75,67148085
3,3,100,67148086
5,5,10,67148032
5,5,25,67148033
5,5,50,67148034
5,5,75,67148035
5,5,100,67148036
10,10,10,67148087
10,10,25,67148088
10,10,50,67148089
10,10,75,67148090
10,10,100,67148091
3,1,10,67148102
3,1,25,67148103
3,1,50,67148104
3,1,75,67148105
3,1,100,67148106
5,1,10,67148112
5,1,25,67148113
5,1,50,67148114
5,1,75,67148115
5,1,100,67148116
10,1,10,67148119
10,1,25,67148120
10,1,50,67148121
10,1,75,67148122
10,1,100,67148123
3,5,10,67148124
3,5,25,67148125
3,5,50,67148126
3,5,75,67148127
3,5,100,67148128
3,10,10,67148129
3,10,25,67148130
3,10,50,67148131
3,10,75,67148132
3,10,100,67148133
5,10,10,67148135
5,10,25,67148136
5,10,50,67148137
5,10,75,67148138
5,10,100,67148139
5,3,10,67148140
5,3,25,67148141
5,3,50,67148142
5,3,75,67148143
5,3,100,67148144
10,3,10,67148158
10,3,25,67148159
10,3,50,67148160
10,3,75,67148161
10,3,100,67148162
10,5,10,67148177
10,5,25,67148178
10,5,50,67148179
10,5,75,67148180
10,5,100,67148181
