week,row_var_w_tot_015,row_var_w_tot_033,row_var_w_tot_2,row_var_w_tot_h,row_var_fem_w_015,row_var_fem_w_033,row_var_fem_w_2,row_var_fem_w_h,row_var_male_w_015,row_var_male_w_033,row_var_male_w_2,row_var_male_w_h
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,3.428122002200205,5.679585548554843,8.999988958895887,7.411940194019403,1.9201816081608087,3.165596199619984,5.091505150515042,4.10392639263927,1.0403305930593145,1.6640831183118143,2.3464188018801835,2.2751865186518647
24,6.018379027902778,8.387639553955395,10.419502590259054,11.05268922892288,3.4227798679868044,4.812681018101801,6.065781578157824,6.243855385538602,1.38413197319731,1.8195335933593364,2.2474883888388857,2.478668026802672
25,6.8257413641364675,8.71291904190417,11.097485748574858,11.842016511651167,3.8253621262126325,5.03335897589761,6.327556755675559,6.79097825782578,1.4387816381638276,1.7477663666366732,2.3400700070007043,2.4952372737273767
26,7.351710171017108,9.310803040303995,11.600303780378038,12.456621662166217,4.0329431343134345,5.159148874887489,6.636407150715101,6.998943644364427,1.5155623962396365,1.93936893689368,2.431375897589761,2.6389436443644283
27,7.559895979597962,9.922379987998792,12.621213231323136,13.161131473147316,4.138933883388331,5.5307128212821155,6.958882998299829,7.379222362236203,1.5433293329332956,1.992855285528551,2.6561420542054255,2.808666106610663
28,8.135138953895392,10.285743414341423,13.363950155015521,13.99299400940094,4.39343165316531,5.694450555055502,7.4677178817881655,7.91310795079502,1.6748773977397797,2.1459121812181317,2.8449064806480613,2.9723003400339922
29,8.5832379137914,11.28737849784971,14.261053855385475,14.662925402540226,4.712999049904988,6.215770537053651,7.89128348834888,8.188148564856471,1.7167483148314895,2.2842844284428403,3.1070042104210422,3.225666726672661
30,9.81746298629862,12.217900790078971,15.048164806480743,15.396351945194557,5.3201974597459705,6.651017811781185,8.19599559955995,8.497424742474234,1.9297919791979146,2.5132124312431254,3.254287818781879,3.3762439343934334
31,10.584954495449564,13.019231483148294,15.854586698669868,15.867725812581243,5.809620552055242,7.025826742674287,8.80792454245423,8.675847424742402,2.0972669166916647,2.7507140714071383,3.447580748074804,3.5566294229422892
32,11.399865976597669,13.844447154715464,16.24984542454241,16.393640924092427,6.056388678867893,7.340428282828296,8.79716035603562,9.071005890589033,2.3680245524552364,2.946674577457741,3.554838643864387,3.697463736373634
33,12.263535143514286,14.453220322032212,15.940586848684864,16.600743264326432,6.522196179617953,7.783195429542946,8.662176577657764,9.147535863586366,2.513592549254923,3.077584868486844,3.646350545054504,3.8263499949994877
34,12.928717031703156,14.842149974997533,16.542937483748393,16.997953835383555,6.898996459645947,7.974909480948101,9.023694529452953,9.30725303530355,2.6633237723772316,3.188797989798961,3.682320622062207,3.862192209220912
35,13.517065216521637,15.328769186918692,17.232425002500253,17.330226772677275,7.197927542754275,8.102048244824475,9.35402515251528,9.368677307730755,2.8169888588859138,3.3426489748974784,3.870551365136516,3.899893179317954
36,13.763719561956181,15.650167726772667,17.10325623562358,17.199213511351125,7.330909080908102,8.464133603360342,9.450719781978208,9.563955585558467,2.9378377837783742,3.409601720172,3.7956105610561033,3.936424642464258
37,14.408879447944795,16.014298069806994,16.939668006800613,17.37573516351634,7.534653465346587,8.640223022302237,9.477120352035161,9.761946584658466,3.087599319931956,3.467047144714469,3.798290829082904,3.945451505150511
38,15.011869896989674,16.192723182318232,17.825766576657667,17.59320716071609,7.7451985198519955,8.73770541054105,9.888822792279212,9.895813091309133,3.2346457745774337,3.528212011201113,3.965832093209314,4.04908769876989
39,15.471231123112302,16.252361236123598,17.944252335233525,18.106340144014474,8.167303090309039,8.738669226922699,9.985856335633544,10.124269066906697,3.2523491949195242,3.601384298429845,4.004742234223432,4.084062716271625
40,16.075610671067114,16.744826322632232,17.517310731073117,17.781193759375856,8.322459435943582,8.880486438643869,9.74031178117815,10.132503160316036,3.418049164916486,3.7282255325532456,4.041597909790977,4.002993489348939
41,16.40635534553457,17.159657955795566,17.680618771877203,17.864531963196303,8.68245828582857,9.318875637563753,9.814307670767088,10.089360896089623,3.428200010001007,3.78863610361036,4.090555045504559,4.040913841384137
42,17.056293379337927,17.40134649464946,17.926390229022886,17.34892720272031,8.816397479747975,9.522731113111323,10.03030187018703,9.818525602560248,3.565632953295327,3.7670885488548933,4.1648655965596415,4.064813041304141
43,16.788115121512146,17.428533963396326,18.387340244024386,17.85734697469745,8.655810691069188,9.536523402340263,10.308723512351188,10.088539893989363,3.581574157415749,3.7412286828682886,4.068287138713876,4.120771077107711
