SexRatio,ReleaseTimeStep,InvProb
"(3, 10)",75,0.9433333333333332
"(5, 10)",25,1.0
"(10, 1)",10,1.0
"(10, 10)",10,1.0
"(5, 1)",75,1.0
"(3, 3)",50,1.0
"(5, 10)",75,1.0
"(3, 5)",100,0.5436666666666667
"(10, 3)",100,1.0
"(1, 1)",50,0.13077777777777777
"(3, 5)",25,1.0
"(5, 3)",50,1.0
"(3, 3)",10,1.0
"(10, 3)",25,1.0
"(3, 1)",50,0.9758888888888889
"(5, 5)",100,0.9799999999999999
"(10, 5)",50,1.0
"(3, 10)",50,1.0
"(10, 1)",100,1.0
"(3, 5)",75,0.8358888888888889
"(1, 1)",10,1.0
"(10, 3)",75,1.0
"(5, 5)",25,1.0
"(10, 10)",100,1.0
"(5, 3)",10,1.0
"(5, 1)",50,1.0
"(3, 1)",10,1.0
"(10, 1)",25,1.0
"(10, 5)",10,1.0
"(5, 10)",50,1.0
"(3, 10)",10,1.0
"(10, 10)",25,1.0
"(5, 5)",75,0.9804444444444446
"(10, 1)",75,1.0
"(5, 1)",10,1.0
"(3, 3)",100,0.5326666666666668
"(10, 10)",75,1.0
"(5, 10)",10,1.0
"(3, 3)",25,1.0
"(1, 1)",100,0.049222222222222216
"(3, 5)",50,1.0
"(5, 3)",100,0.9736666666666666
"(10, 3)",50,1.0
"(3, 1)",100,0.5365555555555556
"(10, 5)",100,1.0
"(1, 1)",25,0.8256666666666667
"(3, 3)",75,0.8652222222222221
"(3, 10)",100,0.6903333333333335
"(5, 3)",25,1.0
"(3, 1)",25,1.0
"(5, 5)",50,1.0
"(3, 5)",10,1.0
"(10, 3)",10,1.0
"(10, 5)",25,1.0
"(3, 10)",25,1.0
"(5, 1)",100,0.9105555555555555
"(10, 1)",50,1.0
"(1, 1)",75,0.08144444444444444
"(5, 3)",75,0.9998888888888888
"(5, 10)",100,0.9858888888888887
"(10, 10)",50,1.0
"(3, 1)",75,0.8053333333333331
"(10, 5)",75,1.0
"(5, 1)",25,1.0
"(5, 5)",10,1.0
