SexRatio,ReleaseTimeStep,InvProb
"(3, 3)",300,1.0
"(5, 1)",250,1.0
"(5, 10)",200,1.0
"(5, 5)",350,1.0
"(5, 10)",250,1.0
"(5, 5)",150,1.0
"(10, 1)",350,1.0
"(10, 1)",150,1.0
"(1, 1)",300,0.18299999999999997
"(10, 10)",350,1.0
"(5, 3)",300,1.0
"(10, 10)",150,1.0
"(3, 1)",300,1.0
"(10, 5)",300,1.0
"(3, 10)",300,1.0
"(3, 5)",200,1.0
"(10, 3)",200,1.0
"(3, 5)",250,1.0
"(10, 3)",250,1.0
"(3, 3)",350,1.0
"(5, 1)",300,1.0
"(3, 3)",150,1.0
"(5, 10)",300,1.0
"(5, 5)",200,1.0
"(5, 5)",250,1.0
"(1, 1)",350,0.13339999999999994
"(10, 1)",200,1.0
"(5, 3)",350,1.0
"(1, 1)",150,0.6557999999999999
"(10, 1)",250,1.0
"(10, 10)",200,1.0
"(5, 3)",150,1.0
"(3, 1)",350,1.0
"(10, 5)",350,1.0
"(10, 10)",250,1.0
"(3, 1)",150,1.0
"(10, 5)",150,1.0
"(3, 10)",350,1.0
"(3, 10)",150,1.0
"(3, 5)",300,1.0
"(10, 3)",300,1.0
"(5, 1)",350,1.0
"(5, 1)",150,1.0
"(3, 3)",200,1.0
"(5, 10)",350,1.0
"(5, 10)",150,1.0
"(3, 3)",250,1.0
"(5, 5)",300,1.0
"(1, 1)",200,0.4336000000000002
"(10, 1)",300,1.0
"(5, 3)",200,1.0
"(1, 1)",250,0.22219999999999995
"(10, 10)",300,1.0
"(3, 1)",200,1.0
"(5, 3)",250,1.0
"(10, 5)",200,1.0
"(3, 1)",250,1.0
"(3, 10)",200,1.0
"(10, 5)",250,1.0
"(3, 5)",350,1.0
"(10, 3)",350,1.0
"(3, 10)",250,1.0
"(3, 5)",150,1.0
"(10, 3)",150,1.0
"(5, 1)",200,1.0
