SexRatio,ReleaseTimeStep,WolbAv
"(3, 10)",75,0.07729999999999997
"(5, 10)",25,1.7727000000000006
"(10, 1)",10,9.8165
"(10, 10)",10,10.227099999999997
"(5, 1)",75,0.1059
"(3, 3)",50,0.07399999999999998
"(5, 10)",75,0.13479999999999992
"(3, 5)",100,0.047499999999999994
"(10, 3)",100,0.28040000000000004
"(1, 1)",50,0.0243
"(3, 5)",25,0.2710000000000001
"(5, 3)",50,0.28370000000000006
"(3, 3)",10,3.8489000000000018
"(10, 3)",25,5.292300000000001
"(3, 1)",50,0.09140000000000002
"(5, 5)",100,0.05119999999999998
"(10, 5)",50,0.9254000000000004
"(3, 10)",50,0.08899999999999998
"(10, 1)",100,0.1671999999999999
"(3, 5)",75,0.07139999999999995
"(1, 1)",10,0.2989
"(10, 3)",75,0.45460000000000006
"(5, 5)",25,1.1824000000000003
"(10, 10)",100,0.19849999999999995
"(5, 3)",10,7.792900000000002
"(5, 1)",50,0.3392
"(3, 1)",10,2.6352999999999995
"(10, 1)",25,5.52
"(10, 5)",10,9.980800000000002
"(5, 10)",50,0.32359999999999994
"(3, 10)",10,5.218599999999998
"(10, 10)",25,4.6334
"(5, 5)",75,0.3071
"(10, 1)",75,0.4600000000000001
"(5, 1)",10,7.453300000000001
"(3, 3)",100,0.057300000000000004
"(10, 10)",75,0.4334
"(5, 10)",10,8.754799999999996
"(3, 3)",25,0.43920000000000003
"(1, 1)",100,0.008100000000000001
"(3, 5)",50,0.07069999999999997
"(5, 3)",100,0.06709999999999998
"(10, 3)",50,1.095
"(3, 1)",100,0.05799999999999998
"(10, 5)",100,0.14669999999999997
"(1, 1)",25,0.06349999999999997
"(3, 3)",75,0.17829999999999996
"(3, 10)",100,0.036799999999999986
"(5, 3)",25,1.1657000000000002
"(3, 1)",25,0.4207
"(5, 5)",50,0.2715000000000001
"(3, 5)",10,4.5794
"(10, 3)",10,9.822300000000002
"(10, 5)",25,4.476399999999999
"(3, 10)",25,0.34550000000000003
"(5, 1)",100,0.09069999999999996
"(10, 1)",50,1.0934
"(1, 1)",75,0.017800000000000003
"(5, 3)",75,0.21139999999999992
"(5, 10)",100,0.13639999999999985
"(10, 10)",50,0.8592999999999997
"(3, 1)",75,0.09589999999999993
"(10, 5)",75,0.47269999999999995
"(5, 1)",25,1.1623
"(5, 5)",10,8.024
