SexRatio,ReleaseTimeStep,WolbAv
"(3, 10)",75,1.2984
"(5, 10)",25,1.5461999999999991
"(10, 1)",10,2.870299999999999
"(10, 10)",10,3.2952000000000004
"(5, 1)",75,1.3458
"(3, 3)",50,1.0872999999999997
"(5, 10)",75,1.4049000000000005
"(3, 5)",100,1.1062000000000003
"(10, 3)",100,1.2484000000000002
"(1, 1)",50,0.8891
"(3, 5)",25,1.3455
"(5, 3)",50,1.1845999999999999
"(3, 3)",10,2.0121000000000007
"(10, 3)",25,1.7656000000000005
"(3, 1)",50,1.1603000000000006
"(5, 5)",100,1.1234999999999997
"(10, 5)",50,1.2946999999999997
"(3, 10)",50,1.1420000000000001
"(10, 1)",100,1.2473
"(3, 5)",75,1.2580999999999998
"(1, 1)",10,1.4415
"(10, 3)",75,1.5872999999999988
"(5, 5)",25,1.4998999999999998
"(10, 10)",100,1.2683000000000002
"(5, 3)",10,2.3673999999999995
"(5, 1)",50,1.1844999999999997
"(3, 1)",10,1.9089
"(10, 1)",25,1.7666000000000008
"(10, 5)",10,3.0747000000000004
"(5, 10)",50,1.1974000000000002
"(3, 10)",10,2.3678000000000017
"(10, 10)",25,1.7672000000000003
"(5, 5)",75,1.3619000000000003
"(10, 1)",75,1.6016000000000006
"(5, 1)",10,2.286300000000001
"(3, 3)",100,1.0788999999999997
"(10, 10)",75,1.6822000000000004
"(5, 10)",10,2.7018
"(3, 3)",25,1.3759000000000006
"(1, 1)",100,0.6193999999999998
"(3, 5)",50,1.0953999999999997
"(5, 3)",100,1.1456
"(10, 3)",50,1.2775
"(3, 1)",100,0.9893
"(10, 5)",100,1.2192000000000003
"(1, 1)",25,1.1405999999999998
"(3, 3)",75,1.2357
"(3, 10)",100,1.0901000000000003
"(5, 3)",25,1.4923000000000002
"(3, 1)",25,1.3559999999999999
"(5, 5)",50,1.1740000000000004
"(3, 5)",10,2.0799999999999996
"(10, 3)",10,2.9935
"(10, 5)",25,1.7761000000000007
"(3, 10)",25,1.4310000000000005
"(5, 1)",100,1.1559000000000004
"(10, 1)",50,1.2713000000000003
"(1, 1)",75,0.8782
"(5, 3)",75,1.3946000000000003
"(5, 10)",100,1.1323999999999999
"(10, 10)",50,1.2367000000000001
"(3, 1)",75,1.203
"(10, 5)",75,1.6016999999999992
"(5, 1)",25,1.4829000000000006
"(5, 5)",10,2.4560000000000004
