SexRatio,ReleaseTimeStep,WolbAv
"(3, 10)",75,7.42
"(5, 10)",25,25.4
"(10, 1)",10,27.92
"(10, 10)",10,36.5
"(5, 1)",75,7.72
"(3, 3)",50,16.04
"(5, 10)",75,9.45
"(3, 5)",100,3.51
"(10, 3)",100,8.67
"(1, 1)",50,3.23
"(3, 5)",25,18.79
"(5, 3)",50,17.76
"(3, 3)",10,18.74
"(10, 3)",25,25.27
"(3, 1)",50,12.4
"(5, 5)",100,7.13
"(10, 5)",50,26.02
"(3, 10)",50,22.47
"(10, 1)",100,8.72
"(3, 5)",75,6.67
"(1, 1)",10,12.93
"(10, 3)",75,9.92
"(5, 5)",25,21.07
"(10, 10)",100,9.09
"(5, 3)",10,21.39
"(5, 1)",50,16.26
"(3, 1)",10,16.45
"(10, 1)",25,22.18
"(10, 5)",10,30.72
"(5, 10)",50,24.71
"(3, 10)",10,25.32
"(10, 10)",25,32.02
"(5, 5)",75,8.6
"(10, 1)",75,10.14
"(5, 1)",10,21.56
"(3, 3)",100,4.03
"(10, 10)",75,10.6
"(5, 10)",10,29.82
"(3, 3)",25,15.68
"(1, 1)",100,0.43
"(3, 5)",50,16.68
"(5, 3)",100,7.71
"(10, 3)",50,24.18
"(3, 1)",100,4.46
"(10, 5)",100,9.64
"(1, 1)",25,8.95
"(3, 3)",75,7.42
"(3, 10)",100,5.72
"(5, 3)",25,19.37
"(3, 1)",25,13.72
"(5, 5)",50,20.04
"(3, 5)",10,20.25
"(10, 3)",10,29.59
"(10, 5)",25,26.67
"(3, 10)",25,23.73
"(5, 1)",100,7.25
"(10, 1)",50,20.9
"(1, 1)",75,0.92
"(5, 3)",75,8.33
"(5, 10)",100,8.29
"(10, 10)",50,29.58
"(3, 1)",75,6.55
"(10, 5)",75,10.02
"(5, 1)",25,16.2
"(5, 5)",10,24.2
