SexRatio,ReleaseTimeStep,WolbAv
"(3, 10)",75,9.89
"(5, 10)",25,8.48
"(10, 1)",10,13.67
"(10, 10)",10,12.03
"(5, 1)",75,9.67
"(3, 3)",50,7.78
"(5, 10)",75,9.73
"(3, 5)",100,4.42
"(10, 3)",100,10.59
"(1, 1)",50,1.34
"(3, 5)",25,8.99
"(5, 3)",50,7.42
"(3, 3)",10,11.21
"(10, 3)",25,8.72
"(3, 1)",50,7.18
"(5, 5)",100,8.2
"(10, 5)",50,8.58
"(3, 10)",50,8.62
"(10, 1)",100,11.14
"(3, 5)",75,7.53
"(1, 1)",10,8.2
"(10, 3)",75,11.65
"(5, 5)",25,9.19
"(10, 10)",100,10.77
"(5, 3)",10,11.45
"(5, 1)",50,8.96
"(3, 1)",10,9.37
"(10, 1)",25,8.66
"(10, 5)",10,13.27
"(5, 10)",50,8.17
"(3, 10)",10,10.51
"(10, 10)",25,8.86
"(5, 5)",75,10.99
"(10, 1)",75,12.11
"(5, 1)",10,11.23
"(3, 3)",100,4.66
"(10, 10)",75,11.98
"(5, 10)",10,12.5
"(3, 3)",25,8.17
"(1, 1)",100,0.74
"(3, 5)",50,7.27
"(5, 3)",100,9.21
"(10, 3)",50,7.9
"(3, 1)",100,5.73
"(10, 5)",100,10.88
"(1, 1)",25,5.29
"(3, 3)",75,7.32
"(3, 10)",100,6.91
"(5, 3)",25,7.72
"(3, 1)",25,7.79
"(5, 5)",50,8.33
"(3, 5)",10,10.96
"(10, 3)",10,13.49
"(10, 5)",25,8.4
"(3, 10)",25,8.21
"(5, 1)",100,9.34
"(10, 1)",50,8.84
"(1, 1)",75,0.98
"(5, 3)",75,10.43
"(5, 10)",100,10.28
"(10, 10)",50,8.55
"(3, 1)",75,7.37
"(10, 5)",75,11.37
"(5, 1)",25,8.44
"(5, 5)",10,11.56
