SexRatio,ReleaseTimeStep,WolbAv
"(3, 10)",75,0.47
"(5, 10)",25,17.27
"(10, 1)",10,24.3
"(10, 10)",10,33.59
"(5, 1)",75,0.61
"(3, 3)",50,6.16
"(5, 10)",75,0.53
"(3, 5)",100,0.02
"(10, 3)",100,0.11
"(1, 1)",50,2.03
"(3, 5)",25,8.69
"(5, 3)",50,8.37
"(3, 3)",10,11.64
"(10, 3)",25,17.96
"(3, 1)",50,4.21
"(5, 5)",100,0.08
"(10, 5)",50,15.88
"(3, 10)",50,13.09
"(10, 1)",100,0.45
"(3, 5)",75,0.33
"(1, 1)",10,3.02
"(10, 3)",75,1.52
"(5, 5)",25,11.66
"(10, 10)",100,0.2
"(5, 3)",10,17.65
"(5, 1)",50,6.28
"(3, 1)",10,8.94
"(10, 1)",25,14.92
"(10, 5)",10,28.53
"(5, 10)",50,15.21
"(3, 10)",10,19.48
"(10, 10)",25,23.69
"(5, 5)",75,0.38
"(10, 1)",75,0.91
"(5, 1)",10,15.19
"(3, 3)",100,0.04
"(10, 10)",75,1.37
"(5, 10)",10,26.67
"(3, 3)",25,6.77
"(1, 1)",100,0.18
"(3, 5)",50,8.2
"(5, 3)",100,0.12
"(10, 3)",50,14.0
"(3, 1)",100,0.03
"(10, 5)",100,0.44
"(1, 1)",25,2.2
"(3, 3)",75,0.35
"(3, 10)",100,0.17
"(5, 3)",25,9.14
"(3, 1)",25,4.73
"(5, 5)",50,10.17
"(3, 5)",10,14.66
"(10, 3)",10,26.44
"(10, 5)",25,18.89
"(3, 10)",25,13.91
"(5, 1)",100,0.1
"(10, 1)",50,11.41
"(1, 1)",75,0.02
"(5, 3)",75,0.7
"(5, 10)",100,0.18
"(10, 10)",50,20.57
"(3, 1)",75,0.25
"(10, 5)",75,1.07
"(5, 1)",25,7.27
"(5, 5)",10,20.16
