SexRatio,ReleaseTimeStep,WolbAv
"(3, 3)",300,9.774600000000003
"(5, 1)",250,10.421
"(5, 10)",200,11.487800000000002
"(5, 5)",350,10.102899999999998
"(5, 10)",250,10.430399999999999
"(5, 5)",150,10.486899999999999
"(10, 1)",350,10.1191
"(10, 1)",150,10.620699999999998
"(1, 1)",300,6.7501
"(10, 10)",350,10.015300000000003
"(5, 3)",300,9.836899999999998
"(10, 10)",150,10.566500000000003
"(3, 1)",300,9.407499999999997
"(10, 5)",300,9.911700000000002
"(3, 10)",300,9.961899999999998
"(3, 5)",200,11.018300000000002
"(10, 3)",200,12.111399999999996
"(3, 5)",250,10.325000000000003
"(10, 3)",250,10.4681
"(3, 3)",350,10.027999999999997
"(5, 1)",300,9.929300000000003
"(3, 3)",150,10.281800000000002
"(5, 10)",300,9.880199999999999
"(5, 5)",200,11.521300000000002
"(5, 5)",250,10.332800000000002
"(1, 1)",350,4.865900000000002
"(10, 1)",200,11.965799999999994
"(5, 3)",350,10.0304
"(1, 1)",150,9.132200000000001
"(10, 1)",250,10.5731
"(10, 10)",200,12.245199999999997
"(5, 3)",150,10.420600000000004
"(3, 1)",350,9.2962
"(10, 5)",350,10.113199999999999
"(10, 10)",250,10.494299999999999
"(3, 1)",150,10.2222
"(10, 5)",150,10.463799999999999
"(3, 10)",350,10.064700000000002
"(3, 10)",150,10.2821
"(3, 5)",300,9.789499999999997
"(10, 3)",300,9.894100000000002
"(5, 1)",350,10.0816
"(5, 1)",150,10.298300000000001
"(3, 3)",200,10.928099999999999
"(5, 10)",350,9.996100000000002
"(5, 10)",150,10.341900000000004
"(3, 3)",250,10.166100000000002
"(5, 5)",300,9.814100000000002
"(1, 1)",200,8.6982
"(10, 1)",300,10.0105
"(5, 3)",200,11.487199999999998
"(1, 1)",250,7.815700000000001
"(10, 10)",300,10.025000000000002
"(3, 1)",200,10.771500000000005
"(5, 3)",250,10.325600000000001
"(10, 5)",200,12.048600000000004
"(3, 1)",250,9.825800000000001
"(3, 10)",200,11.226800000000003
"(10, 5)",250,10.463299999999998
"(3, 5)",350,9.9948
"(10, 3)",350,10.107700000000001
"(3, 10)",250,10.394200000000005
"(3, 5)",150,10.2178
"(10, 3)",150,10.567899999999998
"(5, 1)",200,11.371900000000004
