SexRatio,ReleaseTimeStep,WolbAv
"(3, 10)",75,12.01
"(5, 10)",25,28.11
"(10, 1)",10,33.46
"(10, 10)",10,45.19
"(5, 1)",75,13.11
"(3, 3)",50,16.79
"(5, 10)",75,12.29
"(3, 5)",100,11.1
"(10, 3)",100,12.69
"(1, 1)",50,10.54
"(3, 5)",25,20.37
"(5, 3)",50,20.01
"(3, 3)",10,23.92
"(10, 3)",25,29.21
"(3, 1)",50,15.49
"(5, 5)",100,10.68
"(10, 5)",50,27.58
"(3, 10)",50,24.11
"(10, 1)",100,11.94
"(3, 5)",75,12.0
"(1, 1)",10,14.97
"(10, 3)",75,15.05
"(5, 5)",25,24.45
"(10, 10)",100,12.77
"(5, 3)",10,28.81
"(5, 1)",50,16.89
"(3, 1)",10,20.98
"(10, 1)",25,26.86
"(10, 5)",10,39.51
"(5, 10)",50,26.76
"(3, 10)",10,32.5
"(10, 10)",25,35.48
"(5, 5)",75,12.65
"(10, 1)",75,15.2
"(5, 1)",10,26.01
"(3, 3)",100,10.33
"(10, 10)",75,14.84
"(5, 10)",10,37.47
"(3, 3)",25,18.92
"(1, 1)",100,6.33
"(3, 5)",50,18.51
"(5, 3)",100,10.94
"(10, 3)",50,25.38
"(3, 1)",100,9.98
"(10, 5)",100,11.92
"(1, 1)",25,13.73
"(3, 3)",75,11.59
"(3, 10)",100,10.77
"(5, 3)",25,21.63
"(3, 1)",25,17.13
"(5, 5)",50,21.93
"(3, 5)",10,26.29
"(10, 3)",10,37.03
"(10, 5)",25,30.47
"(3, 10)",25,26.26
"(5, 1)",100,11.23
"(10, 1)",50,22.95
"(1, 1)",75,8.21
"(5, 3)",75,13.1
"(5, 10)",100,11.54
"(10, 10)",50,32.09
"(3, 1)",75,12.16
"(10, 5)",75,14.5
"(5, 1)",25,18.89
"(5, 5)",10,31.17
