SexRatio,ReleaseTimeStep,WolbAv
"(3, 10)",75,0.46
"(5, 10)",25,17.36
"(10, 1)",10,23.95
"(10, 10)",10,34.54
"(5, 1)",75,0.6
"(3, 3)",50,6.01
"(5, 10)",75,0.41
"(3, 5)",100,0.04
"(10, 3)",100,0.27
"(1, 1)",50,2.03
"(3, 5)",25,8.48
"(5, 3)",50,8.22
"(3, 3)",10,11.46
"(10, 3)",25,17.79
"(3, 1)",50,4.08
"(5, 5)",100,0.07
"(10, 5)",50,15.22
"(3, 10)",50,13.01
"(10, 1)",100,0.21
"(3, 5)",75,0.29
"(1, 1)",10,3.0
"(10, 3)",75,1.19
"(5, 5)",25,11.61
"(10, 10)",100,0.11
"(5, 3)",10,17.72
"(5, 1)",50,6.53
"(3, 1)",10,8.35
"(10, 1)",25,15.77
"(10, 5)",10,28.76
"(5, 10)",50,15.31
"(3, 10)",10,19.92
"(10, 10)",25,24.3
"(5, 5)",75,1.0
"(10, 1)",75,1.36
"(5, 1)",10,15.16
"(3, 3)",100,0.03
"(10, 10)",75,1.42
"(5, 10)",10,25.78
"(3, 3)",25,6.87
"(1, 1)",100,0.01
"(3, 5)",50,8.08
"(5, 3)",100,0.1
"(10, 3)",50,13.84
"(3, 1)",100,0.08
"(10, 5)",100,0.16
"(1, 1)",25,2.15
"(3, 3)",75,0.48
"(3, 10)",100,0.01
"(5, 3)",25,9.29
"(3, 1)",25,4.9
"(5, 5)",50,10.27
"(3, 5)",10,14.05
"(10, 3)",10,26.5
"(10, 5)",25,19.54
"(3, 10)",25,13.4
"(5, 1)",100,0.11
"(10, 1)",50,11.6
"(1, 1)",75,0.05
"(5, 3)",75,0.62
"(5, 10)",100,0.18
"(10, 10)",50,19.93
"(3, 1)",75,0.33
"(10, 5)",75,1.0
"(5, 1)",25,7.56
"(5, 5)",10,20.41
