SexRatio,ReleaseTimeStep,InvProb
"(3, 10)",75,0.9672999999999999
"(5, 10)",25,1.0
"(10, 1)",10,1.0
"(10, 10)",10,1.0
"(5, 1)",75,1.0
"(3, 3)",50,1.0
"(5, 10)",75,1.0
"(3, 5)",100,0.7034999999999998
"(10, 3)",100,1.0
"(1, 1)",50,0.37330000000000013
"(3, 5)",25,1.0
"(5, 3)",50,1.0
"(3, 3)",10,1.0
"(10, 3)",25,1.0
"(3, 1)",50,0.9884
"(5, 5)",100,0.9867999999999999
"(10, 5)",50,1.0
"(3, 10)",50,1.0
"(10, 1)",100,1.0
"(3, 5)",75,0.9004000000000001
"(1, 1)",10,1.0
"(10, 3)",75,1.0
"(5, 5)",25,1.0
"(10, 10)",100,1.0
"(5, 3)",10,1.0
"(5, 1)",50,1.0
"(3, 1)",10,1.0
"(10, 1)",25,1.0
"(10, 5)",10,1.0
"(5, 10)",50,1.0
"(3, 10)",10,1.0
"(10, 10)",25,1.0
"(5, 5)",75,0.9895999999999999
"(10, 1)",75,1.0
"(5, 1)",10,1.0
"(3, 3)",100,0.6901
"(10, 10)",75,1.0
"(5, 10)",10,1.0
"(3, 3)",25,1.0
"(1, 1)",100,0.2545
"(3, 5)",50,1.0
"(5, 3)",100,0.9885
"(10, 3)",50,1.0
"(3, 1)",100,0.6845000000000003
"(10, 5)",100,1.0
"(1, 1)",25,0.8933999999999999
"(3, 3)",75,0.9276000000000002
"(3, 10)",100,0.8113000000000001
"(5, 3)",25,1.0
"(3, 1)",25,1.0
"(5, 5)",50,1.0
"(3, 5)",10,1.0
"(10, 3)",10,1.0
"(10, 5)",25,1.0
"(3, 10)",25,1.0
"(5, 1)",100,0.9494
"(10, 1)",50,1.0
"(1, 1)",75,0.2899
"(5, 3)",75,1.0
"(5, 10)",100,0.9956999999999999
"(10, 10)",50,1.0
"(3, 1)",75,0.8773000000000002
"(10, 5)",75,1.0
"(5, 1)",25,1.0
"(5, 5)",10,1.0
