SexRatio,ReleaseTimeStep,PersTime
"(3, 3)",300,183.49
"(5, 1)",250,442.08
"(5, 10)",200,624.81
"(5, 5)",350,521.32
"(5, 10)",250,626.4
"(5, 5)",150,545.16
"(10, 1)",350,648.9
"(10, 1)",150,650.95
"(1, 1)",300,13.13
"(10, 10)",350,697.98
"(5, 3)",300,520.29
"(10, 10)",150,752.53
"(3, 1)",300,172.55
"(10, 5)",300,629.23
"(3, 10)",300,376.93
"(3, 5)",200,342.46
"(10, 3)",200,700.55
"(3, 5)",250,219.36
"(10, 3)",250,705.92
"(3, 3)",350,193.78
"(5, 1)",300,499.36
"(3, 3)",150,243.97
"(5, 10)",300,586.54
"(5, 5)",200,543.18
"(5, 5)",250,541.77
"(1, 1)",350,12.99
"(10, 1)",200,627.53
"(5, 3)",350,480.92
"(1, 1)",150,12.5
"(10, 1)",250,669.13
"(10, 10)",200,703.0
"(5, 3)",150,509.23
"(3, 1)",350,137.0
"(10, 5)",350,649.37
"(10, 10)",250,693.71
"(3, 1)",150,226.14
"(10, 5)",150,696.1
"(3, 10)",350,436.92
"(3, 10)",150,388.43
"(3, 5)",300,292.75
"(10, 3)",300,668.06
"(5, 1)",350,462.42
"(5, 1)",150,401.79
"(3, 3)",200,236.31
"(5, 10)",350,532.58
"(5, 10)",150,584.54
"(3, 3)",250,248.37
"(5, 5)",300,563.46
"(1, 1)",200,12.41
"(10, 1)",300,598.96
"(5, 3)",200,468.55
"(1, 1)",250,12.79
"(10, 10)",300,671.76
"(3, 1)",200,166.67
"(5, 3)",250,531.32
"(10, 5)",200,669.05
"(3, 1)",250,174.48
"(3, 10)",200,384.38
"(10, 5)",250,674.47
"(3, 5)",350,246.51
"(10, 3)",350,651.0
"(3, 10)",250,372.91
"(3, 5)",150,270.54
"(10, 3)",150,683.03
"(5, 1)",200,479.96
