SexRatio,ReleaseTimeStep,PersTime
"(3, 10)",75,229.33
"(5, 10)",25,758.48
"(10, 1)",10,850.0
"(10, 10)",10,850.0
"(5, 1)",75,385.51
"(3, 3)",50,264.73
"(5, 10)",75,484.3
"(3, 5)",100,205.1
"(10, 3)",100,586.62
"(1, 1)",50,14.42
"(3, 5)",25,531.29
"(5, 3)",50,574.1
"(3, 3)",10,782.54
"(10, 3)",25,841.64
"(3, 1)",50,264.83
"(5, 5)",100,387.39
"(10, 5)",50,772.14
"(3, 10)",50,367.52
"(10, 1)",100,640.22
"(3, 5)",75,267.9
"(1, 1)",10,201.62
"(10, 3)",75,748.21
"(5, 5)",25,766.68
"(10, 10)",100,654.89
"(5, 3)",10,841.58
"(5, 1)",50,533.31
"(3, 1)",10,698.83
"(10, 1)",25,825.13
"(10, 5)",10,850.0
"(5, 10)",50,625.58
"(3, 10)",10,824.73
"(10, 10)",25,841.67
"(5, 5)",75,412.7
"(10, 1)",75,689.3
"(5, 1)",10,790.89
"(3, 3)",100,191.52
"(10, 10)",75,729.73
"(5, 10)",10,850.0
"(3, 3)",25,426.59
"(1, 1)",100,14.07
"(3, 5)",50,329.12
"(5, 3)",100,482.75
"(10, 3)",50,794.89
"(3, 1)",100,115.56
"(10, 5)",100,617.41
"(1, 1)",25,60.7
"(3, 3)",75,175.97
"(3, 10)",100,231.06
"(5, 3)",25,741.83
"(3, 1)",25,415.44
"(5, 5)",50,552.27
"(3, 5)",10,732.03
"(10, 3)",10,850.0
"(10, 5)",25,850.0
"(3, 10)",25,621.33
"(5, 1)",100,357.33
"(10, 1)",50,794.15
"(1, 1)",75,11.05
"(5, 3)",75,464.05
"(5, 10)",100,424.11
"(10, 10)",50,785.58
"(3, 1)",75,156.6
"(10, 5)",75,735.87
"(5, 1)",25,699.76
"(5, 5)",10,841.56
