SexRatio,ReleaseTimeStep,PersTime
"(3, 10)",75,16.23
"(5, 10)",25,20.37
"(10, 1)",10,600.99
"(10, 10)",10,684.22
"(5, 1)",75,17.43
"(3, 3)",50,13.95
"(5, 10)",75,15.95
"(3, 5)",100,14.15
"(10, 3)",100,21.57
"(1, 1)",50,7.4
"(3, 5)",25,15.43
"(5, 3)",50,18.03
"(3, 3)",10,48.5
"(10, 3)",25,32.24
"(3, 1)",50,14.7
"(5, 5)",100,18.12
"(10, 5)",50,23.51
"(3, 10)",50,12.75
"(10, 1)",100,22.7
"(3, 5)",75,15.51
"(1, 1)",10,11.12
"(10, 3)",75,22.28
"(5, 5)",25,27.09
"(10, 10)",100,22.02
"(5, 3)",10,103.99
"(5, 1)",50,18.07
"(3, 1)",10,30.57
"(10, 1)",25,27.77
"(10, 5)",10,694.66
"(5, 10)",50,17.77
"(3, 10)",10,47.52
"(10, 10)",25,36.48
"(5, 5)",75,16.88
"(10, 1)",75,22.59
"(5, 1)",10,89.94
"(3, 3)",100,14.42
"(10, 10)",75,21.23
"(5, 10)",10,177.93
"(3, 3)",25,14.37
"(1, 1)",100,9.17
"(3, 5)",50,13.86
"(5, 3)",100,17.7
"(10, 3)",50,23.26
"(3, 1)",100,14.15
"(10, 5)",100,23.7
"(1, 1)",25,8.26
"(3, 3)",75,12.9
"(3, 10)",100,15.1
"(5, 3)",25,22.69
"(3, 1)",25,14.33
"(5, 5)",50,18.52
"(3, 5)",10,41.33
"(10, 3)",10,643.21
"(10, 5)",25,28.72
"(3, 10)",25,17.63
"(5, 1)",100,17.02
"(10, 1)",50,24.72
"(1, 1)",75,8.74
"(5, 3)",75,17.51
"(5, 10)",100,17.24
"(10, 10)",50,22.23
"(3, 1)",75,13.86
"(10, 5)",75,24.08
"(5, 1)",25,18.26
"(5, 5)",10,111.15
