SexRatio,ReleaseTimeStep,PersTime
"(3, 3)",300,19.87
"(5, 1)",250,49.71
"(5, 10)",200,151.44
"(5, 5)",350,118.88
"(5, 10)",250,119.8
"(5, 5)",150,64.61
"(10, 1)",350,235.14
"(10, 1)",150,343.38
"(1, 1)",300,6.86
"(10, 10)",350,449.67
"(5, 3)",300,83.14
"(10, 10)",150,408.04
"(3, 1)",300,8.63
"(10, 5)",300,306.11
"(3, 10)",300,41.11
"(3, 5)",200,20.65
"(10, 3)",200,259.09
"(3, 5)",250,19.46
"(10, 3)",250,337.84
"(3, 3)",350,10.18
"(5, 1)",300,54.92
"(3, 3)",150,14.41
"(5, 10)",300,147.71
"(5, 5)",200,106.25
"(5, 5)",250,93.21
"(1, 1)",350,6.68
"(10, 1)",200,310.81
"(5, 3)",350,64.74
"(1, 1)",150,7.82
"(10, 1)",250,300.64
"(10, 10)",200,395.1
"(5, 3)",150,60.63
"(3, 1)",350,12.2
"(10, 5)",350,349.01
"(10, 10)",250,386.9
"(3, 1)",150,12.68
"(10, 5)",150,388.81
"(3, 10)",350,22.25
"(3, 10)",150,18.7
"(3, 5)",300,17.51
"(10, 3)",300,277.53
"(5, 1)",350,49.41
"(5, 1)",150,45.92
"(3, 3)",200,10.88
"(5, 10)",350,102.1
"(5, 10)",150,130.02
"(3, 3)",250,10.08
"(5, 5)",300,97.65
"(1, 1)",200,6.97
"(10, 1)",300,338.21
"(5, 3)",200,91.97
"(1, 1)",250,7.04
"(10, 10)",300,364.89
"(3, 1)",200,11.71
"(5, 3)",250,68.69
"(10, 5)",200,350.73
"(3, 1)",250,12.75
"(3, 10)",200,38.17
"(10, 5)",250,343.77
"(3, 5)",350,13.89
"(10, 3)",350,266.35
"(3, 10)",250,28.4
"(3, 5)",150,18.3
"(10, 3)",150,317.67
"(5, 1)",200,69.94
