SexRatio,ReleaseTimeStep,PersTime
"(3, 10)",75,15.26
"(5, 10)",25,25.82
"(10, 1)",10,572.13
"(10, 10)",10,662.42
"(5, 1)",75,17.74
"(3, 3)",50,12.91
"(5, 10)",75,17.27
"(3, 5)",100,14.82
"(10, 3)",100,22.18
"(1, 1)",50,7.73
"(3, 5)",25,16.67
"(5, 3)",50,17.09
"(3, 3)",10,34.64
"(10, 3)",25,33.07
"(3, 1)",50,13.18
"(5, 5)",100,17.25
"(10, 5)",50,23.8
"(3, 10)",50,14.64
"(10, 1)",100,24.29
"(3, 5)",75,14.34
"(1, 1)",10,10.34
"(10, 3)",75,22.28
"(5, 5)",25,19.91
"(10, 10)",100,21.78
"(5, 3)",10,129.24
"(5, 1)",50,16.24
"(3, 1)",10,24.24
"(10, 1)",25,29.12
"(10, 5)",10,649.27
"(5, 10)",50,17.64
"(3, 10)",10,44.12
"(10, 10)",25,30.85
"(5, 5)",75,17.02
"(10, 1)",75,24.02
"(5, 1)",10,82.29
"(3, 3)",100,15.05
"(10, 10)",75,23.47
"(5, 10)",10,201.1
"(3, 3)",25,15.19
"(1, 1)",100,7.76
"(3, 5)",50,14.64
"(5, 3)",100,16.75
"(10, 3)",50,21.53
"(3, 1)",100,14.52
"(10, 5)",100,20.58
"(1, 1)",25,8.08
"(3, 3)",75,13.45
"(3, 10)",100,15.12
"(5, 3)",25,21.2
"(3, 1)",25,14.1
"(5, 5)",50,17.63
"(3, 5)",10,40.1
"(10, 3)",10,615.67
"(10, 5)",25,29.81
"(3, 10)",25,18.01
"(5, 1)",100,16.32
"(10, 1)",50,23.2
"(1, 1)",75,7.44
"(5, 3)",75,16.49
"(5, 10)",100,16.49
"(10, 10)",50,23.64
"(3, 1)",75,13.72
"(10, 5)",75,21.68
"(5, 1)",25,20.07
"(5, 5)",10,103.49
